service_id,vehicle_id,engine_serial_no,service_date,service_type,service_category,fault_code,diagnosis,technician,workshop,parts_replaced,labour_cost,parts_cost,total_cost,downtime_hours,next_service_due,warranty_claim,service_status
S00001,V0168,ESN818145,2025-07-09,Battery Replacement,Corrective,P0420,Battery degradation,TECH312,AutoMind Central,Oil Filter,3911,8501,12412,10.2,2026-01-05,No,Completed
S00002,V0093,ESN254085,2025-05-13,Engine Diagnostics,Emergency,P0171,Brake wear,TECH723,AutoMind Central,Air Filter,4355,19114,23469,9.4,2025-11-09,No,Pending
S00003,V0158,ESN629185,2025-01-09,Brake Service,Preventive,P0300,Low oil pressure,TECH153,Kerala Truck Service,Air Filter,4680,10040,14720,5.3,2025-07-08,No,Pending
S00004,V0402,ESN232328,2025-01-19,Battery Replacement,Preventive,P0171,Brake wear,TECH230,Kerala Truck Service,Brake Pads,885,18710,19595,7.8,2025-07-18,No,Completed
S00005,V0287,ESN855823,2025-07-18,Engine Diagnostics,Corrective,P0171,Brake wear,TECH832,Kerala Truck Service,Brake Pads,5291,1282,6573,6.9,2026-01-14,No,Completed
S00006,V0082,ESN509796,2025-03-31,Routine Service,Emergency,P0000,Engine overheating,TECH703,Kerala Truck Service,Battery,4843,17694,22537,8.1,2025-09-27,No,Pending
S00007,V0080,ESN344262,2025-12-23,Routine Service,Emergency,P0420,Routine inspection,TECH119,Kerala Truck Service,Brake Pads,2250,15905,18155,4.4,2026-06-21,No,Pending
S00008,V0457,ESN275476,2025-10-03,Engine Diagnostics,Preventive,P0171,Engine overheating,TECH530,FleetCare Kochi,Air Filter,4617,2503,7120,6.5,2026-04-01,No,Pending
S00009,V0363,ESN568255,2025-02-11,Routine Service,Corrective,P0012,Battery degradation,TECH668,FleetCare Kochi,Battery,2015,7921,9936,2.9,2025-08-10,Yes,Pending
S00010,V0174,ESN740933,2025-08-04,Battery Replacement,Emergency,P0300,Low oil pressure,TECH102,FleetCare Kochi,Spark Plug,1278,17467,18745,3.2,2026-01-31,Yes,Completed
S00011,V0310,ESN404921,2025-12-09,Battery Replacement,Corrective,P0000,Low oil pressure,TECH384,FleetCare Kochi,Brake Pads,5029,1274,6303,5.8,2026-06-07,No,Completed
S00012,V0420,ESN715036,2025-01-20,Engine Diagnostics,Corrective,P0012,Engine overheating,TECH647,AutoMind Central,Battery,1423,15259,16682,5.7,2025-07-19,No,Completed
S00013,V0100,ESN279816,2025-03-16,Battery Replacement,Corrective,P0171,Low oil pressure,TECH106,FleetCare Kochi,Brake Pads,5298,19551,24849,2.6,2025-09-12,Yes,Pending
S00014,V0041,ESN143316,2025-08-10,Battery Replacement,Corrective,P0300,Engine overheating,TECH723,Prime Motors,Brake Pads,4666,9742,14408,5.4,2026-02-06,No,Completed
S00015,V0242,ESN765716,2025-08-01,Routine Service,Emergency,P0300,Routine inspection,TECH312,Kerala Truck Service,Oil Filter,1861,16506,18367,7.2,2026-01-28,Yes,Pending
S00016,V0249,ESN409971,2025-12-24,Oil Change,Emergency,P0300,Battery degradation,TECH709,FleetCare Kochi,Spark Plug,2424,13145,15569,5.9,2026-06-22,Yes,Pending
