claim_id,vehicle_id,driver_id,trip_id,accident_timestamp,accident_location,weather_condition,road_condition,collision_type,damaged_component,severity,estimated_repair_cost,claim_amount,fraud_flag,claim_status
C00001,V0329,D0021,T02242,2025-09-05T11:35:00,Kochi,Fog,Wet,Head-on,Windshield,Minor,25202,21044,No,Rejected
C00002,V0188,D0047,T09915,2025-06-09T06:21:00,Kollam,Rain,Slippery,Single Vehicle,Rear Bumper,Moderate,185286,159869,No,Rejected
C00003,V0102,D0478,T07715,2025-12-23T08:58:00,Kozhikode,Rain,Wet,Rear-end,Rear Bumper,Moderate,14220,11458,No,Rejected
C00004,V0115,D0227,T01006,2025-08-11T17:03:00,Thrissur,Heavy Rain,Slippery,Side,Front Bumper,Minor,242403,225289,Yes,Under Review
C00005,V0030,D0619,T00917,2025-09-16T22:32:00,Kozhikode,Rain,Dry,Head-on,Headlight,Major,45379,40416,No,Under Review
C00006,V0371,D0400,T04745,2025-05-13T03:12:00,Palakkad,Sunny,Dry,Side,Engine Bay,Minor,183286,176690,No,Approved
C00007,V0111,D0069,T05697,2025-08-17T17:05:00,Alappuzha,Heavy Rain,Wet,Rear-end,Door,Minor,91420,81314,No,Approved
C00008,V0091,D0493,T06752,2025-10-23T18:10:00,Kochi,Rain,Wet,Side,Front Bumper,Moderate,113242,95042,No,Approved
C00009,V0148,D0263,T00343,2025-06-25T16:22:00,Kozhikode,Rain,Dry,Rear-end,Headlight,Major,15135,13105,No,Approved
C00010,V0307,D0128,T00997,2025-08-20T01:22:00,Alappuzha,Rain,Dry,Head-on,Engine Bay,Major,203502,177173,Yes,Approved
C00011,V0198,D0131,T07537,2025-01-02T00:10:00,Kollam,Cloudy,Slippery,Single Vehicle,Rear Bumper,Major,159007,154274,No,Rejected
C00012,V0252,D0089,T06172,2025-03-23T19:19:00,Thrissur,Rain,Dry,Side,Rear Bumper,Moderate,38385,32954,No,Approved
C00013,V0354,D0317,T03403,2025-04-04T09:20:00,Palakkad,Fog,Dry,Head-on,Door,Minor,160490,148346,No,Rejected
C00014,V0118,D0696,T05741,2025-03-29T18:36:00,Kollam,Fog,Slippery,Side,Front Bumper,Major,103702,87970,Yes,Approved
C00015,V0105,D0080,T03221,2025-04-23T07:58:00,Kollam,Heavy Rain,Dry,Side,Engine Bay,Minor,227806,186779,No,Rejected
C00016,V0385,D0255,T08745,2025-02-04T14:27:00,Alappuzha,Heavy Rain,Slippery,Head-on,Door,Minor,185446,159366,No,Under Review
C00017,V0347,D0287,T06548,2025-07-01T15:13:00,Palakkad,Rain,Slippery,Side,Door,Minor,98629,94327,Yes,Rejected
C00018,V0172,D0535,T06542,2025-01-11T14:51:00,Kollam,Heavy Rain,Dry,Rear-end,Windshield,Minor,38518,36171,No,Rejected
C00019,V0040,D0117,T04458,2025-11-02T15:35:00,Kollam,Heavy Rain,Wet,Rear-end,Windshield,Minor,135153,124759,Yes,Under Review
C00020,V0110,D0073,T08554,2025-03-29T06:23:00,Thrissur,Fog,Slippery,Single Vehicle,Front Bumper,Minor,187300,162546,No,Approved
C00021,V0453,D0010,T01560,2025-05-28T22:19:00,Kozhikode,Heavy Rain,Slippery,Side,Door,Major,158131,129607,Yes,Under Review
C00022,V0084,D0633,T07662,2025-03-28T08:37:00,Alappuzha,Rain,Slippery,Single Vehicle,Front Bumper,Major,184249,178909,No,Rejected
C00023,V0165,D0510,T00552,2025-06-13T13:12:00,Kochi,Sunny,Dry,Rear-end,Front Bumper,Minor,164751,150653,No,Under Review
C00024,V0421,D0552,T04500,2025-05-19T17:49:00,Alappuzha,Cloudy,Wet,Head-on,Windshield,Major,117302,97596,No,Approved
C00025,V0350,D0533,T03283,2025-04-02T15:11:00,Kozhikode,Rain,Slippery,Single Vehicle,Rear Bumper,Moderate,128606,109241,No,Approved
C00026,V0335,D0020,T03957,2025-03-12T00:50:00,Kochi,Rain,Dry,Head-on,Windshield,Minor,178801,176396,No,Approved
C00027,V0357,D0667,T03001,2025-05-17T02:49:00,Thrissur,Sunny,Wet,Rear-end,Front Bumper,Major,140891,128815,No,Approved
C00028,V0168,D0272,T05488,2025-11-12T06:23:00,Palakkad,Fog,Dry,Side,Windshield,Minor,32576,29613,No,Rejected
C00029,V0303,D0173,T04675,2025-08-10T11:36:00,Thrissur,Rain,Wet,Head-on,Front Bumper,Major,98931,84341,Yes,Rejected
C00030,V0398,D0004,T08962,2025-01-29T23:26:00,Kochi,Sunny,Slippery,Rear-end,Windshield,Major,103255,97458,No,Rejected
C00031,V0347,D0328,T00451,2025-09-06T13:54:00,Kollam,Rain,Wet,Side,Rear Bumper,Major,53885,44444,No,Under Review
C00032,V0354,D0051,T04787,2025-03-25T22:26:00,Thrissur,Sunny,Dry,Head-on,Rear Bumper,Minor,41312,34038,No,Approved
C00033,V0382,D0456,T03804,2025-10-26T21:03:00,Thrissur,Sunny,Wet,Single Vehicle,Door,Major,88143,75476,No,Rejected
C00034,V0149,D0181,T07979,2025-02-20T02:25:00,Kollam,Cloudy,Wet,Single Vehicle,Rear Bumper,Major,23746,23140,No,Under Review
C00035,V0201,D0065,T02875,2025-09-18T19:28:00,Thrissur,Rain,Wet,Single Vehicle,Door,Minor,57715,53298,No,Under Review
