route_id,source,destination,distance_km,estimated_duration_min,road_type,traffic_level
R001,Kochi,Thrissur,85,86,Mixed,High
R002,Thrissur,Palakkad,75,104,City,Low
R003,Kochi,Thrissur,85,118,City,Medium
R004,Kochi,Kottayam,65,65,City,Medium
R005,Kochi,Kottayam,65,81,City,Low
R006,Kozhikode,Kannur,95,135,Mixed,High
R007,Trivandrum,Kollam,70,82,Highway,Medium
R008,Thrissur,Palakkad,75,83,Highway,Medium
R009,Kochi,Kottayam,65,86,City,High
R010,Thrissur,Palakkad,75,75,Highway,Low
R011,Kochi,Thrissur,85,124,Highway,Low
R012,Kozhikode,Kannur,95,116,Highway,High
R013,Kochi,Kottayam,65,88,City,Low
R014,Kochi,Alappuzha,55,64,Highway,High
R015,Thrissur,Palakkad,75,104,City,High
R016,Kochi,Kottayam,65,84,City,Low
R017,Kozhikode,Kannur,95,114,City,Low
R018,Kochi,Thrissur,85,127,Mixed,Medium
R019,Kochi,Alappuzha,55,67,City,Low
R020,Kochi,Kottayam,65,97,Mixed,Medium
R021,Thrissur,Palakkad,75,112,Highway,Medium
R022,Trivandrum,Kollam,70,72,City,Medium
R023,Kozhikode,Kannur,95,107,City,High
R024,Kochi,Alappuzha,55,57,Mixed,Medium
R025,Thrissur,Palakkad,75,83,Highway,Medium
R026,Trivandrum,Kollam,70,95,Highway,High
R027,Kochi,Thrissur,85,87,City,High
R028,Kochi,Thrissur,85,89,City,Medium
R029,Trivandrum,Kollam,70,76,City,High
R030,Kochi,Kottayam,65,76,City,Medium
R031,Kochi,Kottayam,65,70,City,Low
R032,Thrissur,Palakkad,75,88,Mixed,Medium
R033,Kochi,Thrissur,85,89,City,High
R034,Trivandrum,Kollam,70,70,City,Medium
R035,Kozhikode,Kannur,95,107,City,High
R036,Thrissur,Palakkad,75,100,Highway,High
R037,Kozhikode,Kannur,95,118,Highway,Medium
R038,Kozhikode,Kannur,95,126,Highway,Medium
R039,Kochi,Alappuzha,55,63,City,Low
R040,Kozhikode,Kannur,95,109,City,Medium
R041,Kochi,Kottayam,65,97,Highway,High
R042,Thrissur,Palakkad,75,78,Mixed,Low
R043,Kochi,Kottayam,65,65,City,High
R044,Trivandrum,Kollam,70,89,City,Low
R045,Trivandrum,Kollam,70,80,City,Low
R046,Trivandrum,Kollam,70,84,Mixed,Medium
R047,Kochi,Alappuzha,55,78,City,Medium
R048,Thrissur,Palakkad,75,91,Mixed,Medium
R049,Kochi,Thrissur,85,98,City,Medium
R050,Kozhikode,Kannur,95,109,City,Low
R051,Trivandrum,Kollam,70,72,City,High
R052,Kochi,Kottayam,65,75,Highway,Low
R053,Kochi,Alappuzha,55,76,Highway,Low
R054,Kozhikode,Kannur,95,132,Mixed,Medium
R055,Kochi,Alappuzha,55,61,Mixed,High
R056,Kozhikode,Kannur,95,105,City,Medium
R057,Thrissur,Palakkad,75,75,Mixed,High
R058,Kozhikode,Kannur,95,126,Highway,High
R059,Thrissur,Palakkad,75,80,Highway,High
R060,Kochi,Thrissur,85,124,City,Medium
R061,Thrissur,Palakkad,75,97,Highway,Medium
R062,Trivandrum,Kollam,70,82,Highway,High
R063,Thrissur,Palakkad,75,80,City,Medium
R064,Thrissur,Palakkad,75,93,Mixed,Medium
R065,Trivandrum,Kollam,70,85,Mixed,Low
R066,Kochi,Thrissur,85,86,Mixed,High
R067,Kochi,Alappuzha,55,64,Highway,Medium
R068,Kozhikode,Kannur,95,107,City,Medium
R069,Trivandrum,Kollam,70,77,Mixed,High
R070,Kochi,Alappuzha,55,80,City,Low
R071,Kozhikode,Kannur,95,103,Mixed,Low
R072,Thrissur,Palakkad,75,104,City,Low
R073,Kochi,Thrissur,85,108,Mixed,Medium
R074,Kozhikode,Kannur,95,118,City,Medium
R075,Kochi,Thrissur,85,115,Highway,Low
R076,Kozhikode,Kannur,95,114,City,Medium
R077,Kochi,Thrissur,85,100,Highway,Low
R078,Thrissur,Palakkad,75,83,City,High
R079,Trivandrum,Kollam,70,85,City,Low
R080,Thrissur,Palakkad,75,102,Highway,Medium
R081,Kochi,Alappuzha,55,60,City,High
R082,Thrissur,Palakkad,75,104,Mixed,Medium
R083,Thrissur,Palakkad,75,91,City,Low
R084,Kochi,Thrissur,85,102,Highway,Medium
R085,Kochi,Alappuzha,55,78,City,Low
R086,Kochi,Kottayam,65,69,Highway,Medium
R087,Kochi,Alappuzha,55,66,Mixed,Medium
R088,Kozhikode,Kannur,95,105,Mixed,High
R089,Kochi,Thrissur,85,124,Highway,Medium
R090,Kochi,Thrissur,85,113,Mixed,Low
R091,Trivandrum,Kollam,70,76,Highway,High
R092,Trivandrum,Kollam,70,84,Highway,Medium
R093,Kochi,Kottayam,65,95,Mixed,High
R094,Trivandrum,Kollam,70,79,City,High
R095,Kochi,Thrissur,85,86,Mixed,Low
R096,Kozhikode,Kannur,95,96,City,Medium
R097,Kochi,Kottayam,65,73,Mixed,Medium
R098,Thrissur,Palakkad,75,102,Highway,High
R099,Kochi,Alappuzha,55,70,Highway,High
R100,Thrissur,Palakkad,75,77,Mixed,Medium
