vehicle_id,registration_number,vin,manufacturer,model,variant,manufacturing_year,purchase_date,vehicle_class,fuel_type,engine_type,engine_capacity_cc,transmission,drivetrain,color,seating_capacity,gross_vehicle_weight_kg,payload_capacity_kg,fuel_tank_capacity_l,warranty_expiry,insurance_policy_id,current_odometer_km,assigned_depot,status,last_service_date
V0001,KL-13-XZ-9769,VIN31479034633233,Ashok Leyland,Boss,1415,2025,12/24/2025,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,13592,7995,120,12/23/2030,POL696099,78853,Thrissur,Maintenance,8/30/2028
V0002,KL-02-NL-9576,VIN90133223714841,Toyota,Hilux,2.8 GD,2024,5/16/2024,Pickup,Diesel,Inline-4,2800,Manual,RWD,Grey,5,1448,335,41,5/15/2029,POL614182,138347,Kochi,Active,8/27/2026
V0003,KL-14-YX-2867,VIN62892063499710,Tata,Nexon,XZ+,2020,9/8/2020,SUV,Diesel,Inline-4,1500,Manual,RWD,White,5,2137,451,58,9/7/2025,POL498610,80729,Trivandrum,Active,11/16/2022
V0004,KL-12-YY-9585,VIN32141923857944,Toyota,Hilux,2.8 GD,2020,7/8/2020,Pickup,Diesel,Inline-4,2800,Manual,RWD,Red,5,1630,418,67,7/7/2025,POL868396,69176,Kochi,Maintenance,9/23/2021
V0005,KL-04-JF-1656,VIN14540154556359,Toyota,Hilux,2.8 GD,2024,7/13/2024,Pickup,Diesel,Inline-4,2800,Manual,RWD,Blue,5,2049,669,70,7/12/2029,POL867786,94048,Trivandrum,Active,6/22/2026
V0006,KL-05-IV-6652,VIN51297999908835,Toyota,Corolla,1.8 G,2025,9/24/2025,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Silver,5,1755,545,62,9/23/2030,POL203891,54060,Kozhikode,Active,1/18/2026
V0007,KL-14-TK-8117,VIN19618168984399,Mahindra,Scorpio N,Z8,2020,12/9/2020,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1280,470,67,12/8/2025,POL880775,141242,Palakkad,Maintenance,6/2/2021
V0008,KL-08-EF-1176,VIN70772000072906,Tata,Nexon,XZ+,2022,4/2/2022,SUV,Diesel,Inline-4,1500,Manual,RWD,Blue,5,1823,681,53,4/1/2027,POL419934,31187,Trivandrum,Maintenance,6/10/2023
V0009,KL-05-ZI-1029,VIN87324333529005,Tata,Nexon,XZ+,2021,6/8/2021,SUV,Diesel,Inline-4,1500,Manual,RWD,Red,5,1871,548,48,6/7/2026,POL255295,127078,Trivandrum,Active,4/14/2023
V0010,KL-04-IF-4802,VIN27545716461009,Mahindra,Scorpio N,Z8,2024,1/8/2024,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,1442,690,60,1/6/2029,POL529805,127949,Thrissur,Maintenance,7/24/2027
V0011,KL-01-YH-4697,VIN65646488045951,Ashok Leyland,Boss,1415,2023,7/26/2023,Truck,Diesel,Inline-4,3800,Manual,RWD,Silver,2,14942,4790,137,7/24/2028,POL455778,31045,Kozhikode,Active,6/18/2024
V0012,KL-02-IH-4351,VIN42994314759169,Ashok Leyland,Boss,1415,2024,3/26/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,Blue,2,11120,3762,162,3/25/2029,POL259996,46002,Kozhikode,Active,7/4/2024
