trip_id,vehicle_id,driver_id,route_id,start_time,end_time,distance_km,trip_status,average_speed_kmph,weather_id
T00001,V0161,D0096,R009,2025-02-15T08:18:00,2025-02-15T09:18:00,65,Completed,65.0,W20250215
T00002,V0090,D0512,R072,2025-10-28T09:22:00,2025-10-28T13:23:00,75,Completed,18.7,W20251028
T00003,V0264,D0149,R018,2025-04-09T03:04:00,2025-04-09T04:33:00,85,Cancelled,57.3,W20250409
T00004,V0433,D0658,R010,2025-01-11T23:19:00,2025-01-12T01:49:00,75,Completed,30.0,W20250111
T00005,V0324,D0214,R066,2025-09-29T03:16:00,2025-09-29T05:39:00,85,Completed,35.7,W20250929
T00006,V0396,D0491,R038,2025-01-26T00:30:00,2025-01-26T05:10:00,95,Completed,20.4,W20250126
T00007,V0070,D0537,R045,2025-04-28T03:20:00,2025-04-28T07:03:00,70,Completed,18.8,W20250428
T00008,V0104,D0080,R020,2025-12-18T07:11:00,2025-12-18T10:23:00,65,Cancelled,20.3,W20251218
T00009,V0358,D0317,R032,2025-10-18T00:24:00,2025-10-18T05:04:00,75,Completed,16.1,W20251018
T00010,V0014,D0145,R100,2025-04-06T00:58:00,2025-04-06T01:47:00,75,Completed,91.8,W20250406
T00011,V0208,D0406,R005,2025-08-13T03:16:00,2025-08-13T08:09:00,65,Cancelled,13.3,W20250813
T00012,V0024,D0219,R089,2025-04-05T13:39:00,2025-04-05T18:24:00,85,Cancelled,17.9,W20250405
T00013,V0476,D0542,R018,2025-11-21T04:01:00,2025-11-21T06:03:00,85,Completed,41.8,W20251121
T00014,V0144,D0019,R043,2025-10-16T20:14:00,2025-10-16T21:28:00,65,Completed,52.7,W20251016
T00015,V0372,D0388,R016,2025-02-03T13:30:00,2025-02-03T16:55:00,65,Completed,19.0,W20250203
T00016,V0086,D0272,R074,2025-05-31T04:43:00,2025-05-31T07:00:00,95,Completed,41.6,W20250531
T00017,V0017,D0461,R062,2025-02-22T14:51:00,2025-02-22T18:08:00,70,Cancelled,21.3,W20250222
T00018,V0339,D0441,R044,2025-04-18T05:55:00,2025-04-18T10:41:00,70,Completed,14.7,W20250418
T00019,V0495,D0657,R068,2025-03-10T20:08:00,2025-03-11T00:52:00,95,Completed,20.1,W20250310
T00020,V0106,D0478,R085,2025-09-13T14:27:00,2025-09-13T18:38:00,55,Completed,13.1,W20250913
T00021,V0050,D0014,R068,2025-03-02T19:04:00,2025-03-02T22:45:00,95,Completed,25.8,W20250302
T00022,V0469,D0557,R021,2025-06-27T07:46:00,2025-06-27T12:05:00,75,Completed,17.4,W20250627
T00023,V0219,D0185,R031,2025-04-04T22:08:00,2025-04-05T00:18:00,65,Completed,30.0,W20250404
T00024,V0071,D0412,R055,2025-08-02T00:41:00,2025-08-02T02:43:00,55,Completed,27.0,W20250802
T00025,V0017,D0164,R026,2025-11-07T06:49:00,2025-11-07T11:29:00,70,Completed,15.0,W20251107
T00026,V0422,D0240,R074,2025-01-03T04:05:00,2025-01-03T08:43:00,95,Completed,20.5,W20250103
T00027,V0147,D0091,R005,2025-07-28T15:40:00,2025-07-28T18:43:00,65,Completed,21.3,W20250728
T00028,V0193,D0550,R040,2025-09-22T04:01:00,2025-09-22T07:50:00,95,Completed,24.9,W20250922
T00029,V0029,D0293,R089,2025-07-27T22:21:00,2025-07-28T02:33:00,85,Completed,20.2,W20250727
T00030,V0274,D0360,R043,2025-05-19T16:18:00,2025-05-19T18:47:00,65,Completed,26.2,W20250519
